Time,origin,objective,distance,arrive,trajectory
8.43,"[0.25, 0.53]","[-1.96, 1.42]",2.38,True,"[[-1.96, 1.42], [-1.96, 1.42], [-1.96, 1.42], [-1.96, 1.42], [-1.98, 1.45], [-2.01, 1.47], [-2.05, 1.46], [-1.9, 1.36], [-1.71, 1.15], [-1.53, 0.9], [-1.34, 0.73], [-1.15, 0.67], [-0.87, 0.7], [-0.57, 0.73], [-0.34, 0.65], [-0.15, 0.57], [0.0, 0.56]]"
13.15,"[-1.65, -1.17]","[0.03, 0.55]",2.4,True,"[[0.03, 0.55], [0.03, 0.55], [0.03, 0.55], [0.03, 0.55], [0.03, 0.55], [0.04, 0.53], [0.07, 0.43], [0.07, 0.24], [0.08, -0.05], [0.04, -0.42], [0.0, -0.8], [0.09, -1.17], [0.09, -1.54], [0.06, -1.74], [-0.01, -1.86], [-0.12, -1.95], [-0.28, -2.03], [-0.5, -2.05], [-0.8, -2.06], [-1.11, -2.06], [-1.38, -2.03], [-1.58, -1.9], [-1.68, -1.79], [-1.74, -1.66], [-1.77, -1.53], [-1.78, -1.4], [-1.77, -1.34]]"
9.21,"[-0.35, -2.58]","[-1.77, -1.34]",1.89,True,"[[-1.77, -1.34], [-1.77, -1.34], [-1.77, -1.34], [-1.77, -1.34], [-1.77, -1.34], [-1.76, -1.35], [-1.76, -1.36], [-1.76, -1.5], [-1.65, -1.78], [-1.51, -2.05], [-1.39, -2.18], [-1.24, -2.25], [-1.02, -2.28], [-0.8, -2.26], [-0.65, -2.24], [-0.52, -2.25], [-0.41, -2.32], [-0.34, -2.4], [-0.31, -2.45]]"
10.14,"[-2.1, -4.03]","[-0.32, -2.45]",2.38,True,"[[-0.32, -2.45], [-0.32, -2.46], [-0.32, -2.46], [-0.32, -2.46], [-0.31, -2.47], [-0.31, -2.48], [-0.38, -2.41], [-0.59, -2.29], [-0.89, -2.21], [-1.16, -2.19], [-1.38, -2.23], [-1.58, -2.33], [-1.78, -2.51], [-1.96, -2.69], [-2.04, -2.89], [-2.01, -3.15], [-1.92, -3.41], [-1.87, -3.61], [-1.91, -3.77], [-1.98, -3.9], [-2.02, -3.95]]"
13.58,"[-0.2, -2.33]","[-2.02, -3.95]",2.44,True,"[[-2.02, -3.95], [-2.02, -3.95], [-2.02, -3.95], [-2.02, -3.95], [-2.03, -3.95], [-2.03, -3.95], [-2.03, -3.93], [-2.03, -3.93], [-2.03, -3.93], [-1.98, -3.91], [-1.91, -3.82], [-1.86, -3.67], [-1.85, -3.46], [-1.8, -3.15], [-1.79, -2.86], [-1.79, -2.67], [-1.69, -2.53], [-1.57, -2.38], [-1.41, -2.25], [-1.26, -2.16], [-1.08, -2.11], [-0.88, -2.08], [-0.68, -2.08], [-0.5, -2.09], [-0.36, -2.12], [-0.24, -2.14], [-0.16, -2.18], [-0.15, -2.21]]"
7.17,"[1.25, -3.42]","[-0.15, -2.21]",1.85,True,"[[-0.15, -2.21], [-0.15, -2.21], [-0.15, -2.21], [-0.13, -2.21], [-0.1, -2.19], [0.03, -2.15], [0.25, -2.12], [0.5, -2.2], [0.69, -2.33], [0.83, -2.47], [0.93, -2.67], [1.02, -2.88], [1.12, -3.07], [1.22, -3.2], [1.29, -3.24]]"
8.68,"[1.25, -1.12]","[1.28, -3.25]",2.13,True,"[[1.28, -3.25], [1.28, -3.25], [1.28, -3.25], [1.31, -3.25], [1.38, -3.3], [1.4, -3.4], [1.37, -3.47], [1.32, -3.31], [1.17, -3.13], [1.03, -2.87], [0.94, -2.6], [0.87, -2.36], [0.83, -2.11], [0.84, -1.85], [0.95, -1.64], [1.08, -1.49], [1.19, -1.37], [1.23, -1.31]]"
9.85,"[0.5, -3.42]","[1.23, -1.31]",2.23,True,"[[1.23, -1.31], [1.23, -1.31], [1.23, -1.31], [1.23, -1.31], [1.25, -1.29], [1.25, -1.27], [1.24, -1.25], [1.18, -1.41], [1.07, -1.63], [0.96, -1.82], [0.9, -2.04], [0.87, -2.37], [0.84, -2.66], [0.85, -2.89], [0.85, -3.06], [0.82, -3.22], [0.75, -3.36], [0.7, -3.49], [0.65, -3.56], [0.58, -3.56]]"
9.07,"[2.25, -2.58]","[0.58, -3.56]",1.94,True,"[[0.58, -3.56], [0.58, -3.56], [0.58, -3.56], [0.58, -3.56], [0.59, -3.54], [0.63, -3.49], [0.77, -3.37], [0.9, -3.24], [1.0, -3.1], [1.14, -3.0], [1.34, -2.92], [1.61, -2.9], [1.81, -2.9], [1.96, -2.85], [2.11, -2.82], [2.23, -2.83], [2.32, -2.82], [2.35, -2.77], [2.35, -2.75]]"
7.79,"[0.75, -3.82]","[2.35, -2.75]",1.92,True,"[[2.35, -2.75], [2.35, -2.75], [2.35, -2.75], [2.34, -2.75], [2.32, -2.76], [2.21, -2.82], [2.04, -2.91], [1.79, -3.02], [1.49, -3.04], [1.2, -2.98], [0.99, -2.91], [0.86, -2.95], [0.76, -3.14], [0.72, -3.37], [0.73, -3.54], [0.7, -3.65]]"
